iter	RMSE
0	5.170714764
1	4.885136957
2	4.625244711
3	4.407922353
4	4.215463376
5	4.050838697
6	3.908281153
7	3.785359622
8	3.677208953
9	3.585810509
10	3.506075383
11	3.435714152
12	3.376980059
13	3.318977702
14	3.270994399
15	3.231940511
16	3.197116221
17	3.163914275
18	3.12544285
19	3.096465503
20	3.071204005
21	3.045499662
22	3.029216653
23	3.012957971
24	2.991147315
25	2.978028968
26	2.963871418
27	2.949622355
28	2.938698822
29	2.930775752
30	2.923576978
31	2.910121186
32	2.900832532
33	2.894972329
34	2.889992432
35	2.882255471
36	2.876597297
37	2.869519385
38	2.864861719
39	2.860971947
40	2.854332684
41	2.850518904
42	2.84749789
43	2.843349239
44	2.838391654
45	2.834384309
46	2.82897864
47	2.824462706
48	2.820768542
49	2.816114233
50	2.814655977
51	2.80961409
52	2.805257058
53	2.801957391
54	2.801176845
55	2.79700796
56	2.794471052
57	2.791139706
58	2.78795183
59	2.784048642
60	2.779744961
61	2.776305875
62	2.772609276
63	2.769082722
64	2.766724175
65	2.763073132
66	2.759592368
67	2.759213323
68	2.756002353
69	2.754111145
70	2.752296032
71	2.749248354
72	2.747374924
73	2.747346112
74	2.744005276
75	2.741699288
76	2.740304743
77	2.739466419
78	2.738501817
79	2.738264281
80	2.736864775
81	2.734907707
82	2.733392729
83	2.731730361
84	2.731066442
85	2.729890779
86	2.728844725
87	2.726940807
88	2.725013841
89	2.723912266
90	2.722797419
91	2.722498743
92	2.720512032
93	2.720419658
94	2.718015305
95	2.717372789
96	2.712908347
97	2.712274791
98	2.71030704
99	2.707224386
100	2.705492129
101	2.703496799
102	2.702200186
103	2.701043725
104	2.700963465
105	2.696724195
106	2.694851384
107	2.694779259
108	2.692547213
109	2.689915253
110	2.686295513
111	2.686148905
112	2.684677206
113	2.683427672
114	2.683309468
115	2.682930218
116	2.681319273
117	2.680262794
118	2.679837556
119	2.678851154
120	2.678630438
121	2.678530731
122	2.677332142
123	2.675589598
124	2.673902478
125	2.673742558
126	2.672654451
127	2.671497307
128	2.667330481
129	2.665760715
130	2.665373786
131	2.665328159
132	2.664907976
133	2.662884541
134	2.661795865
135	2.660764934
136	2.660265781
137	2.660206566
138	2.66016866
139	2.656201444
140	2.655764217
141	2.654496807
142	2.654203372
143	2.652678696
144	2.652557178
145	2.649792114
146	2.649679917
147	2.649520435
148	2.649304702
149	2.647863655
150	2.646872997
151	2.646789268
152	2.646495909
153	2.642479894
154	2.642398202
155	2.642323184
156	2.638524679
157	2.637458216
158	2.637268274
159	2.635851398
160	2.635765376
161	2.634711221
162	2.632941233
163	2.632217283
164	2.630725823
165	2.630005326
166	2.628946998
167	2.62883543
168	2.628761377
169	2.628673109
170	2.628619009
171	2.628542894
172	2.628401759
173	2.627937145
174	2.625583134
175	2.625532683
176	2.624822675
177	2.624779024
178	2.624732981
179	2.622681758
180	2.622660656
181	2.621076031
182	2.620626126
183	2.620076583
184	2.619093994
185	2.619003991
186	2.617657349
187	2.617516045
188	2.61705583
189	2.615578058
190	2.613677632
191	2.612834189
192	2.612081224
193	2.612062329
194	2.611220518
195	2.611183154
196	2.607921749
197	2.60731904
198	2.607258643
199	2.607137095
200	2.604797595
201	2.604760683
202	2.602431644
203	2.602189633
204	2.602162042
205	2.601525529
206	2.600685141
207	2.600314221
208	2.599520445
209	2.598574631
210	2.597476107
211	2.595965862
212	2.595259586
213	2.594857166
214	2.594785943
215	2.593716903
216	2.591860678
217	2.590816388
218	2.590243552
219	2.589449633
220	2.587557105
221	2.587380969
222	2.586507295
223	2.586280605
224	2.586250702
225	2.583379583
226	2.582589096
227	2.581933203
228	2.58159219
229	2.580988944
230	2.580739276
231	2.580710417
232	2.580421758
233	2.58010773
234	2.579805609
235	2.579045442
236	2.578358274
237	2.577414427
238	2.574704734
239	2.574688303
240	2.574361647
241	2.573787055
242	2.57359369
243	2.571806846
244	2.571566633
245	2.570824557
246	2.569630042
247	2.569352591
248	2.56910186
249	2.568895301
250	2.5658927
251	2.565309162
252	2.565152586
253	2.565137285
254	2.564080864
255	2.5629815
256	2.562543229
257	2.562370169
258	2.562083275
259	2.56094899
260	2.560497086
261	2.559985709
262	2.559284732
263	2.557988702
264	2.557361074
265	2.55676844
266	2.556124488
267	2.55571191
268	2.555535613
269	2.555097752
270	2.555079424
271	2.554937311
272	2.55382559
273	2.553098275
274	2.553003052
275	2.552719194
276	2.552414177
277	2.552174958
278	2.551610246
279	2.551450483
280	2.550753334
281	2.550126838
282	2.549477339
283	2.549031135
284	2.548463834
285	2.54846158
286	2.548188483
287	2.548112643
288	2.547576865
289	2.547574504
290	2.547305756
291	2.547065254
292	2.546577524
293	2.5461525
294	2.546150515
295	2.546126779
296	2.546054332
297	2.545399792
298	2.544887486
299	2.544776203
300	2.544083739
301	2.543979758
302	2.543954906
303	2.543215518
304	2.542696404
305	2.542225707
306	2.541631504
307	2.541521011
308	2.540803039
309	2.53839795
310	2.537714256
311	2.537393431
312	2.53683309
313	2.536802326
314	2.536781765
315	2.53655192
316	2.536274987
317	2.536072181
318	2.535594074
319	2.535503872
320	2.535485065
321	2.535122377
322	2.534510234
323	2.534276708
324	2.531845101
325	2.531264627
326	2.531150053
327	2.530911469
328	2.530792954
329	2.530749474
330	2.530644729
331	2.530211944
332	2.527933068
333	2.527487478
334	2.525446407
335	2.525354615
336	2.524837289
337	2.524816625
338	2.524595268
339	2.52268005
340	2.522385827
341	2.522288379
342	2.521969529
343	2.521722629
344	2.521157474
345	2.520847857
346	2.520831576
347	2.519305946
348	2.519292252
349	2.51898578
350	2.518628907
351	2.517899291
352	2.517715872
353	2.517203587
354	2.517183742
355	2.516515695
356	2.516269255
357	2.515698568
358	2.515693087
359	2.515278896
360	2.514720597
361	2.51376298
362	2.513420728
363	2.513211985
364	2.512212586
365	2.511696171
366	2.511326324
367	2.51051867
368	2.510092289
369	2.509681381
370	2.509467023
371	2.507286216
