iter	Passed	Remaining
0	254	254424
1	350	174933
2	447	148613
3	543	135370
4	639	127299
5	731	121159
6	828	117521
7	911	113006
8	1016	111933
9	1111	110028
10	1199	107861
11	1292	106439
12	1390	105576
13	1480	104271
14	1556	102236
15	1646	101276
16	1731	100112
17	1817	99161
18	1904	98335
19	1997	97865
20	2084	97188
21	2176	96760
22	2272	96549
23	2361	96027
24	2455	95753
25	2545	95346
26	2628	94720
27	2703	93853
28	2788	93379
29	2874	92933
30	2954	92365
31	3058	92529
32	3144	92143
33	3246	92245
34	3336	91993
35	3420	91582
36	3505	91228
37	3595	91031
38	3689	90923
39	3781	90744
40	3857	90235
41	3948	90070
42	4024	89572
43	4118	89485
44	4217	89500
45	4315	89492
46	4404	89310
47	4494	89131
48	4584	88973
49	4676	88860
50	4775	88859
51	4870	88791
52	4960	88635
53	5058	88614
54	5132	88177
55	5225	88093
56	5318	87996
57	5406	87809
58	5498	87688
59	5588	87549
60	5673	87338
61	5752	87026
62	5821	86582
63	5909	86433
64	5997	86264
65	6089	86169
66	6175	85993
67	6234	85446
68	6318	85251
69	6416	85247
70	6505	85115
71	6602	85102
72	6689	84948
73	6723	84137
74	6800	83877
75	6878	83625
76	6962	83463
77	7052	83367
78	7130	83124
79	7203	82840
80	7292	82741
81	7383	82655
82	7474	82577
83	7575	82606
84	7666	82525
85	7751	82377
86	7843	82316
87	7922	82101
88	8006	81955
89	8098	81880
90	8185	81768
91	8282	81741
92	8377	81699
93	8454	81484
94	8536	81318
95	8621	81182
96	8686	80869
97	8782	80839
98	8871	80742
99	8964	80678
100	9048	80537
101	9128	80367
102	9217	80275
103	9306	80175
104	9406	80175
105	9497	80100
106	9584	79986
107	9677	79926
108	9769	79860
109	9849	79688
110	9934	79563
111	10032	79541
112	10120	79445
113	10212	79373
114	10301	79277
115	10384	79135
116	10454	78900
117	10550	78862
118	10666	78969
119	10751	78845
120	10816	78576
121	10914	78546
122	11001	78438
123	11096	78390
124	11169	78189
125	11232	77912
126	11321	77826
127	11399	77658
128	11479	77509
129	11577	77481
130	11665	77382
131	11768	77386
132	11858	77300
133	11952	77247
134	12037	77131
135	12133	77080
136	12221	76985
137	12314	76917
138	12403	76827
139	12495	76755
140	12580	76641
141	12670	76560
142	12758	76463
143	12843	76345
144	12924	76207
145	13038	76265
146	13093	75978
147	13186	75914
148	13269	75789
149	13360	75710
150	13448	75614
151	13502	75331
152	13594	75258
153	13683	75170
154	13764	75038
155	13853	74952
156	13941	74855
157	14042	74836
158	14125	74714
159	14216	74636
160	14302	74530
161	14397	74473
162	14481	74363
163	14569	74271
164	14642	74102
165	14735	74032
166	14825	73948
167	14909	73838
168	15000	73761
169	15052	73493
170	15107	73241
171	15205	73196
172	15298	73132
173	15392	73071
174	15480	72981
175	15561	72858
176	15649	72766
177	15725	72621
178	15825	72584
179	15919	72520
180	16000	72398
181	16044	72113
182	16144	72075
183	16210	71889
184	16302	71820
185	16384	71702
186	16470	71606
187	16566	71553
188	16658	71480
189	16748	71402
190	16837	71315
191	16916	71188
192	16992	71050
193	17082	70971
194	17173	70894
195	17256	70788
196	17342	70688
197	17435	70624
198	17529	70559
199	17624	70499
200	17711	70404
201	17808	70354
202	17899	70276
203	17988	70191
204	18073	70091
205	18150	69958
206	18233	69849
207	18327	69785
208	18411	69679
209	18504	69610
210	18596	69540
211	18655	69340
212	18753	69292
213	18834	69177
214	18917	69070
215	19004	68980
216	19089	68882
217	19181	68807
218	19265	68706
219	19344	68586
220	19423	68466
221	19509	68370
222	19597	68285
223	19683	68189
224	19766	68085
225	19849	67980
226	19932	67874
227	20011	67756
228	20092	67647
229	20185	67577
230	20270	67481
231	20352	67374
232	20448	67314
233	20535	67222
234	20617	67116
235	20712	67052
236	20801	66967
237	20880	66853
238	20968	66764
239	21047	66649
240	21131	66551
241	21208	66430
242	21298	66349
243	21386	66262
244	21484	66206
245	21571	66116
246	21658	66028
247	21739	65920
248	21826	65830
249	21914	65742
250	21999	65647
251	22075	65525
252	22159	65426
253	22240	65320
254	22325	65225
255	22399	65098
256	22491	65023
257	22584	64953
258	22680	64887
259	22758	64774
260	22847	64691
261	22950	64645
262	23025	64523
263	23116	64444
264	23199	64346
265	23278	64234
266	23351	64107
267	23432	64003
268	23520	63915
269	23610	63835
270	23683	63709
271	23779	63645
272	23861	63544
273	23946	63448
274	24040	63380
275	24132	63302
276	24215	63204
277	24274	63044
278	24364	62963
279	24448	62867
280	24522	62747
281	24610	62660
282	24698	62575
283	24788	62495
284	24876	62409
285	24964	62322
286	25029	62181
287	25114	62089
288	25198	61992
289	25294	61927
290	25367	61805
291	25460	61733
292	25537	61621
293	25625	61535
294	25716	61457
295	25796	61353
296	25878	61255
297	25961	61158
298	26063	61105
299	26118	60942
300	26210	60867
301	26292	60768
302	26378	60678
303	26467	60595
304	26545	60488
305	26621	60376
306	26704	60281
307	26797	60208
308	26885	60121
309	26962	60012
310	27055	59939
311	27143	59855
312	27239	59787
313	27329	59706
314	27417	59623
315	27498	59521
316	27585	59434
317	27665	59332
318	27765	59273
319	27855	59192
320	27937	59095
321	28020	59000
322	28098	58892
323	28180	58796
324	28269	58712
325	28353	58621
326	28439	58531
327	28515	58421
328	28623	58378
329	28704	58277
330	28788	58185
331	28873	58094
332	28952	57992
333	29045	57917
334	29126	57818
335	29213	57730
336	29313	57669
337	29392	57566
338	29488	57497
339	29577	57414
340	29670	57340
341	29761	57259
342	29844	57165
343	29947	57108
344	30037	57027
345	30099	56893
346	30178	56791
347	30259	56693
348	30319	56555
349	30402	56461
350	30483	56363
351	30573	56282
352	30661	56198
353	30746	56108
354	30821	56000
355	30915	55925
356	30997	55830
357	31050	55682
358	31132	55587
359	31218	55498
360	31307	55417
361	31399	55339
362	31491	55262
363	31582	55182
364	31658	55077
365	31743	54987
366	31824	54890
367	31909	54801
368	32000	54721
369	32083	54628
370	32186	54569
371	32275	54486
372	32355	54388
373	32443	54303
374	32530	54217
375	32613	54124
376	32708	54052
377	32806	53982
378	32892	53894
379	32962	53781
380	33030	53664
381	33125	53591
382	33229	53531
383	33326	53460
384	33411	53372
385	33497	53283
386	33560	53159
387	33648	53074
388	33737	52991
389	33830	52914
390	33911	52817
391	34001	52736
392	34088	52649
393	34175	52564
394	34268	52486
395	34347	52389
396	34433	52300
397	34514	52205
398	34602	52120
399	34689	52034
400	34771	51941
401	34855	51849
402	34940	51760
403	35031	51680
404	35118	51593
405	35212	51518
406	35297	51428
407	35378	51333
408	35471	51255
409	35548	51154
410	35632	51064
411	35714	50971
412	35788	50866
413	35864	50764
414	35960	50691
415	36045	50602
416	36127	50509
417	36171	50362
418	36265	50286
419	36363	50215
420	36454	50136
421	36544	50054
422	36631	49967
423	36719	49882
424	36793	49778
425	36882	49696
426	36965	49604
427	37053	49520
428	37140	49434
429	37228	49349
430	37322	49272
431	37421	49202
432	37523	49136
433	37604	49041
434	37681	48943
435	37776	48866
436	37868	48787
437	37924	48661
438	38007	48570
439	38093	48482
440	38186	48404
441	38277	48323
442	38369	48243
443	38456	48156
444	38544	48072
445	38634	47989
446	38728	47912
447	38811	47821
448	38901	47738
449	38989	47653
450	39075	47566
451	39161	47479
452	39250	47395
453	39340	47312
454	39430	47230
455	39515	47141
456	39611	47065
457	39706	46988
458	39787	46895
459	39874	46809
460	39956	46716
461	40045	46632
462	40087	46494
463	40163	46395
464	40252	46311
465	40338	46224
466	40426	46139
467	40517	46058
468	40602	45970
469	40705	45901
470	40789	45812
